degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Environmental Science B.S.,POLS,2305,Federal Government,University Core Requirements,42
Environmental Science B.S.,POLS,2306,Texas Government,University Core Requirements,42
Environmental Science B.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Environmental Science B.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Environmental Science B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Criminology B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Criminology B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Criminology B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Criminology B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Criminology B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Criminology B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED,4978,Pre-Service Internship II/Student Teaching,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,BIOL,3141,Laboratory for Molecular Genetics,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,BIOL,3341,Molecular Genetics,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,CHEM,1111,Laboratory for General Chemistry I,Pedagogy Requirements,18
Environmental Management B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Environmental Management B.S.,HIST,1301,United States History I,University Core Requirements,42
Environmental Management B.S.,HIST,1302,United States History II,University Core Requirements,42
Environmental Management B.S.,POLS,2305,Federal Government,University Core Requirements,42
Environmental Management B.S.,POLS,2306,Texas Government,University Core Requirements,42
Environmental Management B.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,ENSC,1301,Environmental Science I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,ENSC,1302,Environmental Science II,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,GEOL,1303,Physical Geology,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,GEOL,1304,Historical Geology,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,PHYS,1301,College Physics I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,PHYS,1302,College Physics II,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,PHYS,2325,University Physics I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,PHYS,2326,University Physics II,University Core Requirements,42
Anthropology B.S.,PHYS,2326,University Physics II,University Core Requirements,42
Anthropology B.S.,HUMN,1301,Humanities,University Core Requirements,42
Anthropology B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Anthropology B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Anthropology B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Geography B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Geography B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Geography B.S.,PHYS,2325,University Physics I,University Core Requirements,42
Geography B.S.,PHYS,2326,University Physics II,University Core Requirements,42
Geography B.S.,HUMN,1301,Humanities,University Core Requirements,42
Geography B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Geography B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ARTS,1303,World Art Survey I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,HIST,1301,United States History I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,HIST,1302,United States History II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,POLS,2305,Federal Government,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,POLS,2306,Texas Government,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ANTH,2346,General Anthropology,University Core Requirements,42
Addictions Counseling B.S.,COUN,4301,Ethical Decision-Making for Addictions Counselors,Major Requirements,78
Addictions Counseling B.S.,COUN,4302,Psychopharmacology,Major Requirements,78
Addictions Counseling B.S.,COUN,4303,Family Dynamics,Major Requirements,78
Addictions Counseling B.S.,COUN,4304,Child and Adolescent Counseling,Major Requirements,78
Addictions Counseling B.S.,COUN,4307,Case Management,Major Requirements,78
Addictions Counseling B.S.,COUN,4308,Addictions Counseling II,Major Requirements,78
Fitness and Human Performance B.S.,HLTH,4301,Physiology of Exercise,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4302,Biomechanics,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4305,Seminar in Sports Medicine,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4308,Resistive Exercise: Theory and Practice,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,4370,Undergraduate Practicum,Major Requirements,42
General Business B.S.,PHYS,1302,College Physics II,University Core Requirements,42
General Business B.S.,PHYS,2325,University Physics I,University Core Requirements,42
General Business B.S.,PHYS,2326,University Physics II,University Core Requirements,42
General Business B.S.,HUMN,1301,Humanities,University Core Requirements,42
General Business B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
General Business B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Finance B.S.,ARTS,1303,World Art Survey I,University Core Requirements,45
Finance B.S.,ARTS,1304,World Art Survey II,University Core Requirements,45
Finance B.S.,ARTS,2379,Arts and the Child,University Core Requirements,45
Finance B.S.,HIST,1301,United States History I,University Core Requirements,45
Finance B.S.,HIST,1302,United States History II,University Core Requirements,45
Early Childhood Care and Education B.S.,ECED,4305,Literacy Development Birth-Age 5,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,4306,Assessment of Young Children Birth-Age 5,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,4307,Mathematics and Science in Early Childhood Education,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,4308,Creativity in Early Childhood,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,4309,Advocacy and Parent Engagement,Major Requirements,63
Accounting B.S.,HUMN,1301,Humanities,University Core Requirements,42
Accounting B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Accounting B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Accounting B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Accounting B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Accounting B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Art and Design B.F.A.,PHYS,1301,College Physics I,University Core Requirements,42
Art and Design B.F.A.,PHYS,1302,College Physics II,University Core Requirements,42
Art and Design B.F.A.,PHYS,2325,University Physics I,University Core Requirements,42
Art and Design B.F.A.,PHYS,2326,University Physics II,University Core Requirements,42
Art and Design B.F.A.,HUMN,1301,Humanities,University Core Requirements,42
Art and Design B.F.A.,LITR,2341,Literature and Experience,University Core Requirements,42
Art and Design B.F.A.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Environmental Science B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Environmental Science B.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Environmental Science B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Environmental Science B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Environmental Science B.S.,CHEM,1111,Laboratory for General Chemistry I,University Core Requirements,42
Environmental Science B.S.,CHEM,1112,Laboratory for General Chemistry II,University Core Requirements,42
Environmental Science B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Criminology B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Criminology B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Criminology B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Criminology B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Criminology B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Criminology B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Criminology B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,CHEM,1112,Laboratory for General Chemistry II,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,CHEM,1311,General Chemistry I,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,CHEM,1312,General Chemistry II,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED,4362,Methods in Secondary Science,Pedagogy Requirements,18
Environmental Management B.S.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Environmental Management B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Environmental Management B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Environmental Management B.S.,GEOG,1303,World Regional Geography,University Core Requirements,42
Environmental Management B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,HUMN,1301,Humanities,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,LITR,2341,Literature and Experience,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
